"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0DK1J5N5C-CRM-Cube1-Grey-Pack3-1","","","Eligible","150000.80","5.80","0.0822","489830","3064","0.0063","25854.37","8.44","252","0.1724","7","0.0278","3570.45","0.0238","130"
"B0FLY33H16-CRM-TS-STB-PACK-4","","","Eligible","41008.64","3.31","0.0470","250970","1341","0.0053","12388.25","9.24","63","0.3021","3","0.0476","1434.48","0.0350","119"
"B0FBLZJM8D-CRM-Cube1-Grey-Pack12","","","Eligible","66826.53","7.68","0.0714","253706","911","0.0036","8697.81","9.55","65","0.1302","1","0.0154","1483.81","0.0222","3120"
"B0CQ8MGHWP-CRM-HP-580-Grey","","","Eligible","58075.76","7.28","0.2791","74987","860","0.0115","7982.04","9.28","240","0.1374","16","0.0667","3939.96","0.0678","4283"
"B0CV4767XP-CRM-WG-NW-Ultra-Grey","","","Eligible","49912.48","6.73","0.1856","77064","1137","0.0148","7418.24","6.52","211","0.1486","5","0.0237","1260.01","0.0252","2889"
"B0CTMTGSL9-CRM-DC-TS-NW-BLACK","","","Eligible","36619.02","5.26","0.1432","101592","964","0.0095","6958.36","7.22","138","0.1900","0","0.0000","0.00","0.0000","0"
"B0FLY9P9DR-CRM-TS-STB-PACK-2","","","Eligible","9632.82","2.37","0.0404","85687","495","0.0058","4068.76","8.22","20","0.4224","0","0.0000","0.00","0.0000","35"
"B0F2MW77TT-CRM-Cube1-Grey-Pack5","","","Eligible","23586.57","6.89","0.0687","234121","393","0.0017","3422.56","8.71","27","0.1451","1","0.0370","445.71","0.0189","10090"
"B0CTMJ1GV9-CRM-DC-TS-NW-GREY-2Q","","","Eligible","11777.21","3.77","0.0642","162889","561","0.0034","3127.01","5.57","36","0.2655","0","0.0000","0.00","0.0000","0"
"B0FB3S1YZW-CRM-SC-TS-4Q","","","Eligible","12072.93","4.14","0.0327","93601","581","0.0062","2914.14","5.02","19","0.2414","0","0.0000","0.00","0.0000","0"
"B0BQMTTDQQ-CRM_AP_TEN _PACK OF 2","","","Eligible","15861.92","5.49","0.1056","81994","322","0.0039","2889.85","8.97","34","0.1822","0","0.0000","0.00","0.0000","1480"
"B0CTFF6YKQ-CRM-EP-L3210-NW-GREY","","","Eligible","20297.90","7.23","0.2231","42323","363","0.0086","2807.27","7.73","81","0.1383","14","0.1728","3439.97","0.1695","4530"
"B0BM4JLSPK-CRM_NW_GREY_DC","","","Eligible","23877.11","8.58","0.2458","45285","358","0.0079","2781.91","7.77","88","0.1165","0","0.0000","0.00","0.0000","0"
"B0CTH4V3PZ-CRM-Canon-G3012-NW-Black","","","Eligible","12670.38","6.13","0.2000","25918","265","0.0102","2065.55","7.79","53","0.1630","2","0.0377","501.90","0.0396","1685"
"B0CTMPGXXG-CRM-DC-TS-NW-GREY","","","Eligible","14877.18","7.20","0.2105","36864","266","0.0072","2065.24","7.76","56","0.1388","0","0.0000","0.00","0.0000","0"
"B0D5HPG9WQ-CRM-CP2-GREY-2Q","","","Eligible","7761.93","3.93","0.0567","93805","353","0.0038","1975.97","5.60","20","0.2546","0","0.0000","0.00","0.0000","0"
"B0CV14R7LM-CRM-WG-NW-Butterfly-Grey","","","Eligible","12248.57","6.20","0.1759","35380","307","0.0087","1975.18","6.43","54","0.1613","1","0.0185","236.19","0.0193","3698"
"B0F916GTW7-CRM-WG-NW-Ultra-Grind+-Grey","","","Eligible","15990.48","8.78","0.1395","54373","473","0.0087","1822.13","3.85","66","0.1140","0","0.0000","0.00","0.0000","276"
"B0CTH4N526-CRM-Canon-G3012-NW-Grey","","","Eligible","7462.83","4.30","0.1471","21486","204","0.0095","1733.70","8.50","30","0.2323","0","0.0000","0.00","0.0000","2840"
"B0CH13Q5TC-CRM_AP_TAN","","","Eligible","8633.42","5.14","0.1278","43236","180","0.0042","1679.97","9.33","23","0.1946","0","0.0000","0.00","0.0000","637"
"B0BQMSCT6Y-CRM_AP_BLACK_PACK OF 2","","","Eligible","8789.58","5.44","0.1111","42839","180","0.0042","1615.96","8.98","20","0.1838","1","0.0500","322.86","0.0367","896"
"B0G64N7TZC-CRM-WO1-Blue-2Q","","","Eligible","4294.29","2.66","0.0280","67366","322","0.0048","1614.65","5.01","9","0.3760","0","0.0000","0.00","0.0000","0"
"B0G3GQX5J7-CRM-TS-STB-PACK-6","","","Eligible","2826.94","1.79","0.0301","61023","166","0.0027","1576.14","9.49","5","0.5575","0","0.0000","0.00","0.0000","0"
"B0F4XRS6NR-CRM-HP-136-1188w-Grey","","","Eligible","8133.23","5.25","0.0806","75799","397","0.0052","1550.36","3.91","32","0.1906","1","0.0313","245.71","0.0302","952"
"B0CQCQJZH5-CRM-HP-M126-M136nw-Black","","","Eligible","6448.52","4.18","0.1302","10990","192","0.0175","1541.84","8.03","25","0.2391","2","0.0800","491.43","0.0762","227"
"B0BM4KGTYM-CRM_NW_BLACK_DC","","","Eligible","5745.73","3.97","0.1307","25770","176","0.0068","1448.52","8.23","23","0.2521","0","0.0000","0.00","0.0000","0"
"B0BQMV8D85-CRM_AP_BROWN_PACK OF 2","","","Eligible","6291.43","4.96","0.1259","26549","135","0.0051","1268.86","9.40","17","0.2017","0","0.0000","0.00","0.0000","368"
"B0CTFDQXD4-CRM-EP-L3210-NW-BLACK","","","Eligible","6903.74","5.46","0.2000","9915","140","0.0141","1264.16","9.03","28","0.1831","7","0.2500","1732.37","0.2509","1598"
"B0DN9JXDRD-CRM-PR-4826-E477-GREY","","","Eligible","6685.62","5.71","0.1688","38747","160","0.0041","1171.41","7.32","27","0.1752","1","0.0370","245.71","0.0368","1686"
"B0BF598T14-Apron_Brown","","","Eligible","3529.52","3.26","0.0738","41657","122","0.0029","1083.93","8.88","9","0.3071","0","0.0000","0.00","0.0000","665"
"B0BF57ZCLY-Apron_Black","","","Eligible","4440.05","4.35","0.1379","21146","116","0.0055","1020.15","8.79","16","0.2298","0","0.0000","0.00","0.0000","540"
"B0FW4VKZ9M-CRM-BR-T535DW-Grey","","","Eligible","8272.36","9.62","0.2598","24670","127","0.0051","860.34","6.77","33","0.1040","10","0.3030","2477.14","0.2994","2690"
"B0CH3L3PYX-CRM_NW_GREY_DC_PACK OF 5","","","Eligible","4314.28","5.26","0.0684","33072","117","0.0035","819.58","7.00","8","0.1900","0","0.0000","0.00","0.0000","0"
"B0DN9NPSCX-CRM-PR-4826-E477-BLACK","","","Eligible","3204.71","4.34","0.1605","19157","81","0.0042","737.60","9.11","13","0.2302","2","0.1538","491.42","0.1533","1120"
