Products	Status	Type	Sponsored Products eligibility	Sales(INR)	ROAS	Conversion rate	Impressions	Clicks	CTR	Spend(INR)	CPC(INR)	Orders	ACOS	NTB orders	% of orders NTB	NTB sales(INR)	% of sales NTB	Viewable impressions
B0FLY9P9DR-CRM-TS-STB-PACK-2			Eligible	32005.84	2.61	0.0378	263168	1665	0.0063	12274.69	7.37	63	0.3835	0	0	0	0	0
B0CV4767XP-CRM-WG-NW-Ultra-Grey			Eligible	67129.23	9.88	0.1805	83102	1529	0.0184	6797.33	4.45	276	0.1013	0	0	0	0	0
B0DK1J5N5C-CRM-Cube1-Grey-Pack3-1			Eligible	33616.24	3.17	0.049	292278	1142	0.0039	10599.7	9.28	56	0.3153	16	0.2857	10912.38	0.3246	50018
B0FLY33H16-CRM-TS-STB-PACK-4			Eligible	29021.18	3.45	0.0412	121622	947	0.0078	8406.07	8.88	39	0.2897	0	0	0	0	0
B0FB3S1YZW-CRM-SC-TS-4Q			Eligible	18633.73	4.43	0.0361	138135	858	0.0062	4210.46	4.91	31	0.226	0	0	0	0	0
B0C9X4MBQ3-CP-BLACK-1			Eligible	6203.79	1.95	0.0245	96323	857	0.0089	3183.44	3.71	21	0.5131	0	0	0	0	0
B0CTMTGSL9-CRM-DC-TS-NW-BLACK			Eligible	31850.13	5.15	0.1314	90942	822	0.009	6188.19	7.53	108	0.1943	0	0	0	0	0
B0CV14R7LM-CRM-WG-NW-Butterfly-Grey			Eligible	33185.59	10.38	0.2112	42025	644	0.0153	3196.09	4.96	136	0.0963	5	0.0368	1255.24	0.0378	2379
B0F916GTW7-CRM-WG-NW-Ultra-Grind+-Grey			Eligible	12984.71	7.16	0.0835	90521	635	0.007	1812.47	2.85	53	0.1396	0	0	0	0	0
B0BQMTTDQQ-CRM_AP_TEN _PACK OF 2			Eligible	33204.66	6.46	0.0947	179746	623	0.0035	5139.75	8.25	59	0.1548	1	0.0169	674.28	0.0203	3708
B0CQ8MGHWP-CRM-HP-580-Grey			Eligible	41602.05	7.73	0.2761	29250	612	0.0209	5381.25	8.79	169	0.1294	8	0.0473	2003.81	0.0482	3735
B0BM4JLSPK-CRM_NW_GREY_DC			Eligible	21787.4	8.04	0.1978	48566	364	0.0075	2711.08	7.45	72	0.1244	0	0	0	0	0
B0CTFF6YKQ-CRM-EP-L3210-NW-GREY			Eligible	16402.93	6.76	0.2055	28484	326	0.0114	2425.43	7.44	67	0.1479	11	0.1642	2798.11	0.1706	4387
B0BFB27TWG-Bajaj_3			Eligible	6725.69	6.64	0.093	59472	301	0.0051	1012.45	3.36	28	0.1505	0	0	0	0	0
B0F2MW77TT-CRM-Cube1-Grey-Pack5			Eligible	7607.15	2.75	0.0378	171190	291	0.0017	2768.16	9.51	11	0.3639	3	0.2727	2904.77	0.3818	35221
B0DKTNJ414-CRM-PR-670-G3770-BLACK			Eligible	14245.71	8.02	0.1903	35531	289	0.0081	1775.87	6.14	55	0.1247	3	0.0545	720.95	0.0506	838
B0BF57ZCLY-Apron_Black			Eligible	6195.17	2.65	0.0739	48111	257	0.0053	2334.09	9.08	19	0.3768	1	0.0526	237.14	0.0383	1627
B0F4XRS6NR-CRM-HP-136-1188w-Grey			Eligible	6710.47	7.05	0.1093	26790	247	0.0092	952.35	3.86	27	0.1419	5	0.1852	1233.33	0.1838	2280
B0FBLZJM8D-CRM-Cube1-Grey-Pack12			Eligible	17738.12	8.41	0.0747	65298	241	0.0037	2110.18	8.76	18	0.119	5	0.2778	4673.34	0.2635	3667
B0BQMSCT6Y-CRM_AP_BLACK_PACK OF 2			Eligible	12915.29	6.69	0.0763	52857	236	0.0045	1929.41	8.18	18	0.1494	0	0	0	0	1655
B0CH3L3PYX-CRM_NW_GREY_DC_PACK OF 5			Eligible	17207.72	11.03	0.1132	38916	212	0.0054	1560.51	7.36	24	0.0907	0	0	0	0	0
B0D5HPG9WQ-CRM-CP2-GREY-2Q			Eligible	3262.87	4.26	0.0539	35742	204	0.0057	765.66	3.75	11	0.2347	0	0	0	0	0
B0CTH4V3PZ-CRM-Canon-G3012-NW-Black			Eligible	9895.23	6.23	0.191	14344	199	0.0139	1588.2	7.98	38	0.1605	6	0.1579	1508.57	0.1525	2435
B0CH13Q5TC-CRM_AP_TAN			Eligible	12791.31	7.44	0.1015	34145	197	0.0058	1720.16	8.73	20	0.1345	0	0	0	0	1093
B0F91CY6LW-CRM-WG-NW-Ultra-Grind+-Black			Eligible	6291.38	10.5	0.132	18188	197	0.0108	598.98	3.04	26	0.0952	0	0	0	0	0
B0G4CH2NLK-CRM_CTSP1_Grey_3Q			Eligible	1775.44	1.52	0.0259	47665	193	0.004	1170.88	6.07	5	0.6595	0	0	0	0	0
B0FW4VKZ9M-CRM-BR-T535DW-Grey			Eligible	15808.54	16.57	0.3497	16119	183	0.0114	954.2	5.21	64	0.0604	9	0.1406	2280.01	0.1442	2158
B0BQMV8D85-CRM_AP_BROWN_PACK OF 2			Eligible	10699.95	8.47	0.1419	52790	155	0.0029	1262.81	8.15	22	0.118	0	0	0	0	894
B0C9X542SL-CP-BLACK-1-PACK OF 2			Eligible	814.29	1.6	0.0199	31950	151	0.0047	510.28	3.38	3	0.6267	0	0	0	0	0
B0BFB324WC-Bajaj_1			Eligible	3249.52	6.52	0.089	26075	146	0.0056	498.02	3.41	13	0.1533	0	0	0	0	0
B0FW4SM5D3-CRM-BR-T730DW-Grey			Eligible	7360.95	10.34	0.2098	20637	143	0.0069	711.97	4.98	30	0.0967	9	0.3	2238.11	0.3041	2328
B0CTFDQXD4-CRM-EP-L3210-NW-BLACK			Eligible	5639.05	5.27	0.1832	12098	131	0.0108	1070.32	8.17	24	0.1898	7	0.2917	1698.09	0.3011	1830
B0CV47TJPR-CRM-WG-NW-Ultra-Black			Eligible	4674.26	8.18	0.1508	9989	126	0.0126	571.61	4.54	19	0.1223	0	0	0	0	0
B0DN9JXDRD-CRM-PR-4826-E477-GREY			Eligible	5184.78	5.91	0.1694	21786	124	0.0057	877.09	7.07	21	0.1692	4	0.1905	977.14	0.1885	811
B0BF598T14-Apron_Brown			Eligible	4638.98	4.7	0.0984	43344	122	0.0028	986.23	8.08	12	0.2126	0	0	0	0	1081
