"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0DK1J5N5C-CRM-Cube1-Grey-Pack3-1","","","Eligible","161698.37","4.92","0.0730","620192","3893","0.0063","32878.04","8.45","284","0.2033","8","0.0282","5157.12","0.0319","559"
"B0FBLZJM8D-CRM-Cube1-Grey-Pack12","","","Eligible","77727.61","7.15","0.0588","323230","1105","0.0034","10874.10","9.84","65","0.1399","1","0.0154","1483.81","0.0191","69"
"B0FLY9P9DR-CRM-TS-STB-PACK-2","","","Eligible","22331.40","2.35","0.0406","239412","960","0.0040","9496.77","9.89","39","0.4253","0","0.0000","0.00","0.0000","0"
"B0CV4767XP-CRM-WG-NW-Ultra-Grey","","","Eligible","53514.20","5.69","0.1691","103664","1283","0.0124","9412.53","7.34","217","0.1759","3","0.0138","711.42","0.0133","1461"
"B0FLY33H16-CRM-TS-STB-PACK-4","","","Eligible","18560.13","2.07","0.0275","198302","873","0.0044","8952.31","10.25","24","0.4823","0","0.0000","0.00","0.0000","0"
"B0CQ8MGHWP-CRM-HP-580-Grey","","","Eligible","51294.21","6.92","0.2992","57300","712","0.0124","7408.32","10.40","213","0.1444","7","0.0329","1701.90","0.0332","3250"
"B0CTMTGSL9-CRM-DC-TS-NW-BLACK","","","Eligible","32400.02","4.70","0.1327","95139","889","0.0093","6891.09","7.75","118","0.2127","0","0.0000","0.00","0.0000","0"
"B0F2MW77TT-CRM-Cube1-Grey-Pack5","","","Eligible","17555.17","4.68","0.0495","190645","505","0.0026","3752.82","7.43","25","0.2138","1","0.0400","665.71","0.0379","238"
"B0CTFF6YKQ-CRM-EP-L3210-NW-GREY","","","Eligible","23530.39","6.86","0.2493","38106","381","0.0100","3429.45","9.00","95","0.1457","17","0.1789","4430.46","0.1883","5111"
"B0D5HPG9WQ-CRM-CP2-GREY-2Q","","","Eligible","4281.89","1.51","0.0290","153691","517","0.0034","2829.25","5.47","15","0.6607","0","0.0000","0.00","0.0000","23508"
"B0CTMPGXXG-CRM-DC-TS-NW-GREY","","","Eligible","15380.06","5.65","0.1424","56911","344","0.0060","2723.05","7.92","49","0.1771","0","0.0000","0.00","0.0000","0"
"B0F916GTW7-CRM-WG-NW-Ultra-Grind+-Grey","","","Eligible","19792.42","7.39","0.1417","53664","600","0.0112","2679.60","4.47","85","0.1354","0","0.0000","0.00","0.0000","0"
"B0FB3S1YZW-CRM-SC-TS-4Q","","","Eligible","6372.22","2.55","0.0178","91129","450","0.0049","2503.64","5.56","8","0.3929","0","0.0000","0.00","0.0000","0"
"B0BQMTTDQQ-CRM_AP_TEN _PACK OF 2","","","Eligible","14773.30","6.00","0.1085","56832","258","0.0045","2463.54","9.55","28","0.1668","0","0.0000","0.00","0.0000","2004"
"B0CTMJ1GV9-CRM-DC-TS-NW-GREY-2Q","","","Eligible","9992.38","4.22","0.0709","109276","409","0.0037","2367.62","5.79","29","0.2369","0","0.0000","0.00","0.0000","0"
"B0BM4JLSPK-CRM_NW_GREY_DC","","","Eligible","11695.23","5.30","0.1723","28109","267","0.0095","2206.17","8.26","46","0.1886","0","0.0000","0.00","0.0000","0"
"B0CV14R7LM-CRM-WG-NW-Butterfly-Grey","","","Eligible","14515.26","6.58","0.1835","30454","327","0.0107","2206.03","6.75","60","0.1520","0","0.0000","0.00","0.0000","1481"
"B0BM4KGTYM-CRM_NW_BLACK_DC","","","Eligible","12469.55","6.14","0.1893","37349","243","0.0065","2031.51","8.36","46","0.1629","0","0.0000","0.00","0.0000","0"
"B0CH13Q5TC-CRM_AP_TAN","","","Eligible","8284.73","4.71","0.1123","42808","187","0.0044","1760.64","9.42","21","0.2125","1","0.0476","1423.80","0.1719","650"
"B0GYR3J89X-CRM-PS5-NW-BLACK","","","Eligible","3123.80","1.79","0.0617","27249","243","0.0089","1744.95","7.18","15","0.5586","0","0.0000","0.00","0.0000","0"
"B0CTH4V3PZ-CRM-Canon-G3012-NW-Black","","","Eligible","9858.05","5.77","0.2260","22806","177","0.0078","1708.85","9.65","40","0.1733","1","0.0250","246.67","0.0250","2696"
"B0FW4VKZ9M-CRM-BR-T535DW-Grey","","","Eligible","11435.37","6.86","0.1909","32408","241","0.0074","1667.73","6.92","46","0.1458","6","0.1304","1458.10","0.1275","1856"
"B0CTH4N526-CRM-Canon-G3012-NW-Grey","","","Eligible","10897.11","7.00","0.2848","17431","158","0.0091","1555.94","9.85","45","0.1428","2","0.0444","515.24","0.0473","2576"
"B0BQMZKF2K-CRM_AP_TEN _PACK OF 3","","","Eligible","12619.07","8.51","0.1066","18171","122","0.0067","1482.85","12.15","13","0.1175","0","0.0000","0.00","0.0000","926"
"B0BF598T14-Apron_Brown","","","Eligible","9490.38","6.94","0.1384","46142","159","0.0034","1367.98","8.60","22","0.1441","0","0.0000","0.00","0.0000","703"
