"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","BLR7","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","1.0","0.0","0.0009","2026-04","2083.88","INR","1.9237","0.07"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","BOM7","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","0.73","0.0","0.0007","2026-04","2083.88","INR","1.5106","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","BOM5","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","0.17","0.17","0.0000","2026-04","2083.88","INR","0.0","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","DEL5","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","0.37","0.0","0.0003","2026-04","2083.88","INR","0.7022","0.03"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BLR4","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.8","0.0","0.0013","2026-04","2083.88","INR","2.7262","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","HYD8","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","0.1","0.0","0.0001","2026-04","2083.88","INR","0.2065","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","HYD8","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","1.47","0.0","0.0024","2026-04","2083.88","INR","5.0158","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","AMD2","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.6","0.0","0.0010","2026-04","2083.88","INR","2.0476","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","BOM5","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","0.63","0.0","0.0006","2026-04","2083.88","INR","1.2451","0.03"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","MAA4","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.6","0.0","0.0010","2026-04","2083.88","INR","2.0475","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","AMD2","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","1.0","0.0","0.0010","2026-04","2083.88","INR","2.0712","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BOM7","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","1.0","0.0","0.0010","2026-04","2083.88","INR","2.0712","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BOM5","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","2.0","0.0","0.0033","2026-04","2083.88","INR","6.8214","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","DEL5","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.63","0.0","0.0010","2026-04","2083.88","INR","2.1479","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BLR7","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","0.7","0.0","0.0007","2026-04","2083.88","INR","1.4516","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","BLR8","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","1.9","0.0","0.0018","2026-04","2083.88","INR","3.7884","0.07"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","HYD8","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","2.73","0.0","0.0027","2026-04","2083.88","INR","5.5941","0.03"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BOM5","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","8.0","0.0","0.0080","2026-04","2083.88","INR","16.5697","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BLR8","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","6.83","0.0","0.0068","2026-04","2083.88","INR","14.1444","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","DEL4","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","1.5","0.0","0.0015","2026-04","2083.88","INR","3.1098","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","AMD2","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","1.3","0.0","0.0013","2026-04","2083.88","INR","2.6908","0.0"
"B0DK1J5N5C","X0025J4BQV","Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Toiletries & Clothes Storage Bags, Travel Organizer Packing Bags, Pack of 3 (Cube1-Grey-Pack3)","DEL5","IN","23.10","13.59","8.30","centimeter","0.45","kilograms","0.0026","cubic meter","3.4","0.0","0.0085","2026-04","2083.88","INR","17.7499","0.13"
"B0DK1J5N5C","X0025J4BQV","Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Toiletries & Clothes Storage Bags, Travel Organizer Packing Bags, Pack of 3 (Cube1-Grey-Pack3)","BOM7","IN","23.10","13.59","8.30","centimeter","0.45","kilograms","0.0026","cubic meter","1.0","0.7","0.0008","2026-04","2083.88","INR","1.6287","0.0"
"B0DK1J5N5C","X0025J4BQV","Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Toiletries & Clothes Storage Bags, Travel Organizer Packing Bags, Pack of 3 (Cube1-Grey-Pack3)","BLR7","IN","23.10","13.59","8.30","centimeter","0.45","kilograms","0.0026","cubic meter","0.5","0.23","0.0007","2026-04","2083.88","INR","1.4634","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","CJB1","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","3.6","0.0","0.0036","2026-04","2083.88","INR","7.4587","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","HYD8","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","4.53","0.0","0.0045","2026-04","2083.88","INR","9.3824","0.0"
"B0DK1J5N5C","X0025J4BQV","Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Toiletries & Clothes Storage Bags, Travel Organizer Packing Bags, Pack of 3 (Cube1-Grey-Pack3)","BOM5","IN","23.10","13.59","8.30","centimeter","0.45","kilograms","0.0026","cubic meter","0.93","0.5","0.0011","2026-04","2083.88","INR","2.3368","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","MAA4","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","1.37","0.0","0.0014","2026-04","2083.88","INR","2.8382","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BOM7","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","1.0","0.0","0.0016","2026-04","2083.88","INR","3.4107","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BLR7","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.93","0.0","0.0015","2026-04","2083.88","INR","3.1747","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","BLR4","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","5.23","0.0","0.0052","2026-04","2083.88","INR","10.834","0.0"
"B0G4CH2NLK","X002GTLRH1","CRASOME PVC Set of 3 Multipurpose Transparent Toiletry Bag for Unisex, Wash Bag Pouch for Travel Kit | Travel Pouch for Makeup Cosmetic, Travel Organizer for Toiletries (CTSP1-3Q-Grey)","HYD8","IN","31.40","23.29","4.60","centimeter","0.33","kilograms","0.0034","cubic meter","8.0","0.0","0.0269","2026-04","2083.88","INR","56.0821","0.0"
"B0G4CH2NLK","X002GTLRH1","CRASOME PVC Set of 3 Multipurpose Transparent Toiletry Bag for Unisex, Wash Bag Pouch for Travel Kit | Travel Pouch for Makeup Cosmetic, Travel Organizer for Toiletries (CTSP1-3Q-Grey)","BLR7","IN","31.40","23.29","4.60","centimeter","0.33","kilograms","0.0034","cubic meter","13.0","0.0","0.0437","2026-04","2083.88","INR","91.1338","0.0"
"B0G4CH2NLK","X002GTLRH1","CRASOME PVC Set of 3 Multipurpose Transparent Toiletry Bag for Unisex, Wash Bag Pouch for Travel Kit | Travel Pouch for Makeup Cosmetic, Travel Organizer for Toiletries (CTSP1-3Q-Grey)","BOM5","IN","31.40","23.29","4.60","centimeter","0.33","kilograms","0.0034","cubic meter","4.0","0.0","0.0135","2026-04","2083.88","INR","28.041","0.0"
"B0G4CH2NLK","X002GTLRH1","CRASOME PVC Set of 3 Multipurpose Transparent Toiletry Bag for Unisex, Wash Bag Pouch for Travel Kit | Travel Pouch for Makeup Cosmetic, Travel Organizer for Toiletries (CTSP1-3Q-Grey)","BOM7","IN","31.40","23.29","4.60","centimeter","0.33","kilograms","0.0034","cubic meter","1.0","0.0","0.0034","2026-04","2083.88","INR","7.0103","0.0"
"B0G4CH2NLK","X002GTLRH1","CRASOME PVC Set of 3 Multipurpose Transparent Toiletry Bag for Unisex, Wash Bag Pouch for Travel Kit | Travel Pouch for Makeup Cosmetic, Travel Organizer for Toiletries (CTSP1-3Q-Grey)","BLR8","IN","31.40","23.29","4.60","centimeter","0.33","kilograms","0.0034","cubic meter","1.0","0.0","0.0034","2026-04","2083.88","INR","7.0103","0.0"
"B0C9X4MBQ3","X001T7PV5F","CRASOME Polyester Storage Organizer Gadget Pouch for USB Cable, Earphone, Power Bank, Charger, Hard Disk, Pen Drive, Travel Gadgets Organiser Bag, Laptop Charger Pouch (CP1-Black)","BOM7","IN","22.00","15.39","3.60","centimeter","0.10","kilograms","0.0012","cubic meter","2.33","0.0","0.0028","2026-04","2083.88","INR","5.9245","0.0"
"B0C9X4MBQ3","X001T7PV5F","CRASOME Polyester Storage Organizer Gadget Pouch for USB Cable, Earphone, Power Bank, Charger, Hard Disk, Pen Drive, Travel Gadgets Organiser Bag, Laptop Charger Pouch (CP1-Black)","BLR8","IN","22.00","15.39","3.60","centimeter","0.10","kilograms","0.0012","cubic meter","4.47","0.0","0.0055","2026-04","2083.88","INR","11.371","0.0"
