"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0F4XM78MP","X002ACHJ5D","CRASOME Non Woven Dust Proof Water-Resistant Printer Cover For HP Laserjet Tank MFP 1188Fnw / 2606Sdw (Grey)","BOM7","IN","14.40","14.20","5.30","centimeter","0.12","kilograms","0.0011","cubic meter","1.61","0.0","0.0017","2026-02","2083.88","INR","3.6408","0.0"
"B0CTH4V3PZ","X001Y8E2H7","Crasome Dust & Water Proof Printer Cover for Canon Pixma G3000 / G3012 / G3010 / G2012 (Black)","BLR7","IN","15.60","11.99","4.40","centimeter","0.08","kilograms","0.0008","cubic meter","14.54","0.0","0.0119","2026-02","2083.88","INR","24.7779","0.11"
"B0F4XM78MP","X002ACHJ5D","CRASOME Non Woven Dust Proof Water-Resistant Printer Cover For HP Laserjet Tank MFP 1188Fnw / 2606Sdw (Grey)","BLR4","IN","14.40","14.20","5.30","centimeter","0.12","kilograms","0.0011","cubic meter","3.21","0.0","0.0035","2026-02","2083.88","INR","7.2522","0.0"
"B0F4XM78MP","X002ACHJ5D","CRASOME Non Woven Dust Proof Water-Resistant Printer Cover For HP Laserjet Tank MFP 1188Fnw / 2606Sdw (Grey)","HYD8","IN","14.40","14.20","5.30","centimeter","0.12","kilograms","0.0011","cubic meter","0.93","0.0","0.0010","2026-02","2083.88","INR","2.1007","0.0"
"B0CTH4V3PZ","X001Y8E2H7","Crasome Dust & Water Proof Printer Cover for Canon Pixma G3000 / G3012 / G3010 / G2012 (Black)","BLR8","IN","15.60","11.99","4.40","centimeter","0.08","kilograms","0.0008","cubic meter","3.0","0.0","0.0024","2026-02","2083.88","INR","4.9096","0.14"
"B0CTH4V3PZ","X001Y8E2H7","Crasome Dust & Water Proof Printer Cover for Canon Pixma G3000 / G3012 / G3010 / G2012 (Black)","AMD2","IN","15.60","11.99","4.40","centimeter","0.08","kilograms","0.0008","cubic meter","3.57","0.0","0.0029","2026-02","2083.88","INR","6.0602","0.04"
"B0CTH4V3PZ","X001Y8E2H7","Crasome Dust & Water Proof Printer Cover for Canon Pixma G3000 / G3012 / G3010 / G2012 (Black)","DEL4","IN","15.60","11.99","4.40","centimeter","0.08","kilograms","0.0008","cubic meter","1.64","0.0","0.0011","2026-02","2083.88","INR","2.3839","0.25"
"B0F4XM78MP","X002ACHJ5D","CRASOME Non Woven Dust Proof Water-Resistant Printer Cover For HP Laserjet Tank MFP 1188Fnw / 2606Sdw (Grey)","DEL5","IN","14.40","14.20","5.30","centimeter","0.12","kilograms","0.0011","cubic meter","1.21","0.0","0.0013","2026-02","2083.88","INR","2.7321","0.0"
"B0F4XM78MP","X002ACHJ5D","CRASOME Non Woven Dust Proof Water-Resistant Printer Cover For HP Laserjet Tank MFP 1188Fnw / 2606Sdw (Grey)","BOM5","IN","14.40","14.20","5.30","centimeter","0.12","kilograms","0.0011","cubic meter","6.46","0.0","0.0070","2026-02","2083.88","INR","14.5103","0.04"
"B0CH3JNFVV","X001UUJYRR","CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Black Pack of 2)","AMD2","IN","16.60","15.70","6.80","centimeter","0.15","kilograms","0.0018","cubic meter","1.43","0.0","0.0025","2026-02","2083.88","INR","5.2813","0.0"
