"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0CQC5BJQ2","X001XAKEGT","Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey)","BOM7","IN","15.40","12.50","5.30","centimeter","0.10","kilograms","0.0010","cubic meter","1.0","0.0","0.0003","2026-01","2083.88","INR","0.6137","0.71"
"B0CV16PGBY","X001YGBEHP","Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Black","BOM5","IN","15.00","14.50","4.70","centimeter","0.12","kilograms","0.0010","cubic meter","0.84","0.0","0.0009","2026-01","2083.88","INR","1.788","0.0"
"B0CQC5BJQ2","X001XAKEGT","Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey)","BLR4","IN","15.40","12.50","5.30","centimeter","0.10","kilograms","0.0010","cubic meter","0.1","0.0","0.0001","2026-01","2083.88","INR","0.2124","0.0"
"B0CQC5BJQ2","X001XAKEGT","Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey)","AMD2","IN","15.40","12.50","5.30","centimeter","0.10","kilograms","0.0010","cubic meter","0.35","0.0","0.0003","2026-01","2083.88","INR","0.6786","0.03"
"B0CQC5BJQ2","X001XAKEGT","Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey)","BOM5","IN","15.40","12.50","5.30","centimeter","0.10","kilograms","0.0010","cubic meter","0.26","0.13","0.0001","2026-01","2083.88","INR","0.2773","0.0"
"B0CQC5BJQ2","X001XAKEGT","Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 670 / 675 (Grey)","BLR7","IN","15.40","12.50","5.30","centimeter","0.10","kilograms","0.0010","cubic meter","3.87","0.0","0.0039","2026-01","2083.88","INR","8.155","0.03"
"B0CV16PGBY","X001YGBEHP","Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Black","HYD8","IN","15.00","14.50","4.70","centimeter","0.12","kilograms","0.0010","cubic meter","3.13","0.0","0.0031","2026-01","2083.88","INR","6.3907","0.13"
"B0CV16PGBY","X001YGBEHP","Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Black","BOM7","IN","15.00","14.50","4.70","centimeter","0.12","kilograms","0.0010","cubic meter","3.52","0.0","0.0036","2026-01","2083.88","INR","7.5","0.0"
"B0CV16PGBY","X001YGBEHP","Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Black","BLR8","IN","15.00","14.50","4.70","centimeter","0.12","kilograms","0.0010","cubic meter","3.26","0.0","0.0033","2026-01","2083.88","INR","6.8155","0.06"
"B0CH3L3PYX","X001UUN73J","CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey Pack of 5)","DEL5","IN","16.80","16.21","12.20","centimeter","0.37","kilograms","0.0033","cubic meter","0.74","0.0","0.0025","2026-01","2083.88","INR","5.122","0.0"
