"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0G42PN4TM","X002GIZNDL","Crasome Dust Proof Water-resistant Printer Cover for HP Laser 1008w / 1008a (Grey_1)","DEL4","IN","13.50","11.51","6.30","centimeter","0.06","kilograms","0.0010","cubic meter","0.26","0.13","0.0001","2026-03","2083.88","INR","0.2655","0.0"
"B0BFB324WC","X001MVG9F9","CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester","HYD8","IN","16.00","14.10","3.70","centimeter","0.14","kilograms","0.0008","cubic meter","0.1","0.0","0.0001","2026-03","2083.88","INR","0.177","0.0"
"B0BFB324WC","X001MVG9F9","CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester","BLR8","IN","16.00","14.10","3.70","centimeter","0.14","kilograms","0.0008","cubic meter","0.26","0.0","0.0001","2026-03","2083.88","INR","0.2242","0.13"
"B0G42PN4TM","X002GIZNDL","Crasome Dust Proof Water-resistant Printer Cover for HP Laser 1008w / 1008a (Grey_1)","BLR7","IN","13.50","11.51","6.30","centimeter","0.06","kilograms","0.0010","cubic meter","4.29","0.0","0.0042","2026-03","2083.88","INR","8.6979","0.03"
"B0BFB324WC","X001MVG9F9","CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester","DEL5","IN","16.00","14.10","3.70","centimeter","0.14","kilograms","0.0008","cubic meter","1.87","0.0","0.0015","2026-03","2083.88","INR","3.2042","0.03"
"B0BFB324WC","X001MVG9F9","CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester","AMD2","IN","16.00","14.10","3.70","centimeter","0.14","kilograms","0.0008","cubic meter","1.23","0.0","0.0010","2026-03","2083.88","INR","2.142","0.0"
"B0BFB324WC","X001MVG9F9","CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester","BOM7","IN","16.00","14.10","3.70","centimeter","0.14","kilograms","0.0008","cubic meter","0.16","0.0","0.0001","2026-03","2083.88","INR","0.2242","0.03"
"B0BFB324WC","X001MVG9H7","CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester","DEL5","IN","16.30","15.01","3.50","centimeter","0.14","kilograms","0.0009","cubic meter","0.39","0.0","0.0003","2026-03","2083.88","INR","0.5901","0.06"
"B0BFB324WC","X001MVG9H7","CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester","BOM5","IN","16.30","15.01","3.50","centimeter","0.14","kilograms","0.0009","cubic meter","1.0","0.0","0.0009","2026-03","2083.88","INR","1.7821","0.0"
"B0G42PN4TM","X002GIZNDL","Crasome Dust Proof Water-resistant Printer Cover for HP Laser 1008w / 1008a (Grey_1)","BLR8","IN","13.50","11.51","6.30","centimeter","0.06","kilograms","0.0010","cubic meter","8.77","0.0","0.0086","2026-03","2083.88","INR","17.8444","0.03"
