"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BLR8","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.06","0.0","0.0001","2026-05","2083.88","INR","0.2065","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BOM7","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.35","0.0","0.0005","2026-05","2083.88","INR","1.0917","0.03"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","HYD8","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","2.87","0.0","0.0047","2026-05","2083.88","INR","9.7896","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","MAA4","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.35","0.0","0.0006","2026-05","2083.88","INR","1.192","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BOM5","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","1.71","0.0","0.0026","2026-05","2083.88","INR","5.4937","0.1"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BLR4","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.39","0.0","0.0006","2026-05","2083.88","INR","1.3277","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","DEL5","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.26","0.0","0.0004","2026-05","2083.88","INR","0.8851","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","AMD2","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","1.48","0.0","0.0024","2026-05","2083.88","INR","5.0453","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","AMD2","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","0.26","0.13","0.0001","2026-05","2083.88","INR","0.2714","0.0"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","HYD8","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","1.0","0.71","0.0003","2026-05","2083.88","INR","0.6019","0.0"
"B0CY834BP1","X001ZIUUQD","Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet All-in-One 4826 (Grey)","BLR7","IN","15.10","12.60","8.60","centimeter","0.20","kilograms","0.0016","cubic meter","0.06","0.0","0.0001","2026-05","2083.88","INR","0.2065","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BLR8","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","1.81","0.77","0.0007","2026-05","2083.88","INR","1.428","0.35"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","DEL5","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","2.84","0.71","0.0017","2026-05","2083.88","INR","3.6054","0.39"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BLR4","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","0.29","0.0","0.0003","2026-05","2083.88","INR","0.6019","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BLR7","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","0.06","0.0","0.0001","2026-05","2083.88","INR","0.1239","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","AMD2","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","0.23","0.13","0.0001","2026-05","2083.88","INR","0.2065","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","HYD8","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","2.0","0.0","0.0020","2026-05","2083.88","INR","4.1424","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BOM7","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","0.19","0.1","0.0001","2026-05","2083.88","INR","0.1888","0.0"
"B0FTM35K6D","X002FRQFCB","Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black)","BOM5","IN","15.90","13.00","4.80","centimeter","0.07","kilograms","0.0010","cubic meter","1.55","0.52","0.0005","2026-05","2083.88","INR","1.1389","0.48"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","HYD8","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","10.71","0.0","0.0105","2026-05","2083.88","INR","21.9159","0.13"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","BOM7","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","0.94","0.0","0.0009","2026-05","2083.88","INR","1.8824","0.03"
"B0CQCQJZH5","X001XAXI8P","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Black)","BOM5","IN","15.90","11.81","5.30","centimeter","0.11","kilograms","0.0010","cubic meter","3.03","0.0","0.0030","2026-05","2083.88","INR","6.2136","0.03"
